#Task    Step    numberOfAcceptedPeleSteps    currentEnergy    bindingE1    dist_1    dist_2    dist_3    sasaLig1    
1    0    0    -15475.5    0.456312    40.2474    39.7324    42.6063    1    
1    1    1    -15475.5    0.339409    42.0818    39.3496    39.6215    1.00014    
1    2    2    -15475.5    0.463459    38.9109    42.2926    37.9887    1.00109    
1    3    3    -15475.5    0.341441    38.482    39.7756    40.3065    0.997739    
1    4    4    -15475.6    0.269881    41.209    36.6033    39.628    1.00091    
1    5    5    -15475.7    0.146889    39.1011    39.0923    35.9314    0.991992    
1    6    6    -15475.7    0.125629    35.1546    39.6883    37.5659    1.00169    
1    7    7    -19155.4    0.911038    38.5338    36.5796    37.1057    0.937552    
1    8    8    -19155.5    0.814579    37.0633    34.7233    38.7044    0.939368    
1    9    9    -19155.6    0.898776    38.4623    36.7061    36.0159    0.939571    
1    10    10    -19155.5    0.883802    36.5033    35.4644    38.472    0.938604    
1    11    11    -19234.9    12.1187    35.5188    33.6716    35.6647    0.857522    
1    12    12    -19302.8    6.35639    35.9367    32.5769    33.8381    0.861938    
1    13    13    -19326.3    10.885    32.941    36.5436    31.7635    0.801607    
1    14    14    -19343.3    7.41529    32.2025    33.6191    33.0346    0.779268    
1    15    15    -19352.1    12.6338    33.0513    31.2997    31.1446    0.817161    
1    16    16    -19361.2    18.217    30.2781    32.6529    31.9584    0.78653    
1    17    17    -19398.5    2.94426    29.984    32.7382    30.1512    0.797497    
1    18    18    -19400.4    7.57694    29.6004    30.8872    33.3475    0.787499    
1    19    19    -19402.5    2.76714    30.1306    33.3171    27.2809    0.741888    
1    20    20    -19410.3    8.04619    30.8928    31.9717    27.0946    0.75121    
1    22    21    -19411    11.7982    28.8184    29.8094    30.7997    0.827196    
1    23    22    -19427.4    4.00585    29.8002    32.7239    26.9353    0.754691    
1    24    23    -19434.5    12.7405    31.5613    31.5393    29.4328    0.789626    
1    25    24    -19452.4    6.37385    31.1226    33.7656    28.0425    0.793131    
1    26    25    -19458.3    15.3174    32.6434    31.9687    30.6758    0.837735    
1    27    26    -19463    14.2311    30.9412    32.1134    32.4675    0.830357    
1    28    27    -19468.6    16.7212    32.9599    32.8212    31.3598    0.80862    
