0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_Ser238,dist_Ser238_2,dist_Ser_to_His,dist_Ser238_to_His,dist_Ser238H_to_His,dist_His_Asp,dist_His_Asp2,dist_His273_Asp,dist_His273_Asp2,sasaSer,sasaSer238,sasaLig
1,-11647.5988,-41.86930154,32.9099226667,33.1254726667,14.8960226667,15.3595846667,2.80785093333,2.87560813333,1.93803533333,1.59523873333,3.08460726667,2.87398693333,1.643121,0.00258,0.06586,0.5589257
2,-11681.6557672,-64.5645566138,27.1040299824,30.3284991182,4.37292760141,6.91537070547,2.80502405644,2.83112883598,1.87914627866,1.59618098765,3.10543846561,5.16896291005,3.78757828924,0.000781305114638,0.00152380952381,0.412874040564
3,-11685.5379841,-48.6711808554,29.1371106101,29.1271562334,10.2788647215,10.3200216711,2.80687854111,2.8389397878,1.88633655172,1.60144864721,3.11988281167,2.94223583554,1.67009503979,0.00196551724138,0.0049124668435,0.452197583554
4,-11681.0718943,-49.819056446,33.0977505874,32.4154181351,19.8519751836,20.1743873715,2.81843108664,2.90196287812,1.96492687959,1.58964942731,3.10189215125,2.92046110132,1.66064427313,0.00285022026432,0.0320234948605,0.504787208517
5,-11595.0137719,-63.4551749211,30.2803508772,32.9526447368,12.8059649123,15.8113192982,2.80629447368,2.89545517544,1.96252526316,1.59045131579,3.09370140351,2.88995850877,1.64345385965,0.00219298245614,0.0311929824561,0.420126719298
6,-11665.8261314,-46.6585427664,36.1533976277,33.9634813869,21.0008532847,20.7399565693,2.80963416058,2.88544277372,1.95973078467,1.59656989051,3.10167985401,2.91458322993,1.65160910584,0.00144343065693,0.0369598540146,0.505765359489
7,-11601.5643956,-43.5569274396,31.2214989011,31.4173637363,13.3133612637,13.5198496703,2.80602142857,2.85971021978,1.95777467033,1.59808582418,3.1113382967,2.10273868132,2.46899923077,0.000752747252747,0.0125714285714,0.532926186813
8,-11598.7624444,-35.9203605444,29.1885077778,27.7272822222,12.7846143333,12.2348378889,2.81975833333,2.88245933333,1.95646722222,1.59003511111,3.06678877778,2.82208166667,1.61395577778,0.00313333333333,0.0319444444444,0.537000277778
9,-11638.9202284,-47.7216512421,31.2183376835,27.5831600326,18.5264539967,15.8508130506,2.80240598695,2.91031479608,1.96753952692,1.59679818923,3.15017949429,3.8327971615,1.61921862969,0.000928221859706,0.0111778140294,0.558956267537
10,-11647.6305128,-41.3477600399,32.586997151,31.9966179487,17.4363213675,17.102368661,2.81497709402,2.88262894587,1.95345746439,1.6141722792,3.15454019943,2.88405703704,1.66507618234,0.000897435897436,0.0398005698006,0.551537735043
11,-11674.1273741,-51.4641478173,27.1957305755,25.9721850719,11.7465919065,14.5248836871,2.80769570144,2.85233447842,1.91929848921,1.59807829137,3.10225359712,2.90898196043,1.66527023381,0.00126798561151,0.0396025179856,0.445979507194
