#Task    Step    numberOfAcceptedPeleSteps    currentEnergy    bindingE1    dist_1    dist_2    dist_3    sasaLig1    
1    0    0    -15800    0.107322    38.7909    38.8517    40.8119    1    
1    1    1    -15800    0.140108    37.0861    38.7683    41.6549    1.00401    
1    2    2    -15800    0.136371    39.6384    40.0844    36.069    1.0022    
1    3    3    -15800    0.0615259    39.0439    36.1354    40.4914    0.997667    
1    4    4    -15800.2    -0.0286967    40.6856    35.4238    36.4614    0.994895    
1    5    5    -19397.2    0.0152468    33.0278    36.9888    34.9314    0.940028    
1    6    6    -19397.4    -0.124295    35.7444    35.9818    31.6143    0.925093    
1    7    7    -19397.2    0.119188    33.352    36.3688    35.7944    0.93507    
1    8    8    -19437.6    2.61798    33.7595    36.5765    30.9627    0.902437    
1    9    9    -19484.6    0.970695    34.5976    31.5276    37.1128    0.905602    
1    10    10    -19484.5    1.02796    35.1661    37.9584    32.4728    0.914179    
1    11    11    -19484.4    1.01286    35.8263    32.3127    37.6543    0.916043    
1    12    12    -19484.5    0.949573    34.7967    32.9644    38.2561    0.913047    
1    13    13    -19484.5    0.858349    35.632    32.2285    37.3933    0.907106    
1    14    14    -19484.5    0.794445    35.037    34.4024    34.5617    0.911471    
1    15    15    -19523.3    2.92119    33.5604    36.1973    30.5225    0.869027    
1    16    16    -19549.6    1.34221    34.3004    32.0169    37.4378    0.900598    
1    18    17    -19563.2    3.58621    34.305    35.0891    30.3173    0.878428    
1    19    18    -19591.1    -1.02175    31.8123    35.1051    29.7283    0.812074    
1    20    19    -19596.6    -0.15238    32.0806    29.4515    34.9169    0.80891    
1    22    20    -19603.2    -2.49643    32.6491    29.1268    33.371    0.804627    
1    23    21    -19604.8    2.443    33.2014    31.438    30.083    0.864597    
1    24    22    -19610.2    -0.608548    32.7303    29.0125    33.5321    0.808727    
1    26    23    -19614.7    2.81734    32.7905    29.6215    33.3625    0.837924    
1    27    24    -19621.8    -1.58531    31.762    34.0793    29.5442    0.815653    
1    28    25    -19628.4    -0.00666839    32.3918    33.7307    30.3851    0.876082    
1    30    26    -19631    -2.55917    32.0352    28.0886    32.8251    0.799597    
1    32    27    -19631.8    -1.03987    30.9014    28.2696    32.5627    0.782691    
1    33    28    -19633.4    -1.74603    29.7895    32.7437    28.1173    0.787016    
1    34    29    -19639.7    -3.16182    29.4376    30.7924    29.0336    0.740661    
1    35    30    -19648.2    -8.45022    27.3268    29.9771    28.0312    0.632035    
1    36    31    -19657.9    -4.29365    30.4185    26.6277    29.6759    0.729382    
1    37    32    -19667.7    -8.58003    30.5614    28.7847    25.5967    0.690216    
1    38    33    -19674.9    -6.35239    28.6354    26.1304    28.684    0.733844    
1    39    34    -19692.3    -15.2771    25.8301    26.8772    24.321    0.544705    
1    58    35    -19691.4    -9.78684    27.6308    25.4135    26.4459    0.582347    
1    61    36    -19691.7    -7.32721    27.9349    25.3895    28.2608    0.638743    
1    64    37    -19691.5    -5.42666    29.0655    28.0785    26.6592    0.655483    
1    65    38    -19690.2    -6.8127    27.6699    30.8739    27.7839    0.69717    
1    66    39    -19697.7    -6.05403    29.2014    26.4849    28.9395    0.709491    
1    68    40    -19702.4    -6.66033    28.4936    31.2771    26.2361    0.71694    
1    69    41    -19697.5    -6.64354    27.8989    31.4141    28.7677    0.742192    
1    70    42    -19703.7    -10.0433    28.9229    29.8046    26.885    0.714778    
1    116    43    -19700.6    -6.802    29.6934    26.2856    30.5432    0.738069    
1    121    44    -19696.1    -6.44277    29.8504    32.2758    26.8533    0.740416    
1    122    45    -19700.7    -3.37623    28.372    31.9135    28.7039    0.742974    
1    123    46    -19703.9    -6.39739    30.7299    26.9775    30.7468    0.761433    
1    124    47    -19703.6    -6.86662    29.3038    26.2916    30.375    0.691977    
1    125    48    -19706.8    -12.7861    29.4037    26.4054    25.1696    0.59047    
1    132    49    -19707.6    -10.152    28.3725    26.3476    27.5255    0.661397    
1    134    50    -19707.1    -9.79325    28.9486    26.0937    25.6705    0.594799    
1    140    51    -19708.6    -11.7608    28.2697    26.658    26.6748    0.629423    
1    142    52    -19708.8    -10.8184    29.4205    26.3523    26.7496    0.636876    
1    143    53    -19711.2    -6.60511    26.513    27.3775    30.5436    0.656793    
